county,referrals,population,income,employment,education,health,crime
Greater London,618,8945309,0.5393018583626319,0.29901000050253773,0.18293890541165833,0.37008335776819,0.717491075981642
West Midlands,209,2980936,0.8622730860299921,0.6823027718550104,0.8239370012077504,0.7145250761469922,0.6616886428207183
Greater Manchester,145,2948633,0.7769337016574586,0.6915422885572139,0.6557387978850482,0.8045071838478617,0.9312595614482407
West Yorkshire,108,2402161,0.6781767955801105,0.6003316749585405,0.7924439547007677,0.707368156494785,0.9362570117287099
Merseyside,87,1456562,1.0,1.0,0.7890363264285648,1.0,0.7041305456399796
Leicestershire,67,1113795,0.24775552486187852,0.1855306799336649,0.4512236904243794,0.3912369622586186,0.48272565017848035
Essex,62,1896590,0.3344514601420677,0.2688936271025823,0.5413869417462244,0.36810862241264797,0.5772200772200772
Northamptonshire,56,802340,0.30781373322809785,0.2688936271025822,0.6080394099617566,0.4813866232623826,0.5736868944416114
Kent,53,1897051,0.40852103697407577,0.3578262533486413,0.549839056520045,0.4286625702032229,0.7320048640803358
Lancashire,53,1570373,0.6205603788476716,0.6082681828950485,0.5791751052647593,0.7651201895745942,0.6263568150360603
Nottinghamshire,53,1173770,0.47306629834254144,0.4819651741293531,0.6541396201605659,0.5811481590080845,0.5510581336053035
Berkshire,47,969736,0.15883977900552484,0.06909894969596453,0.2461887961874071,0.24106731453943794,0.4040455549889512
South Yorkshire,43,1407072,0.75103591160221,0.7255389718076284,1.0,0.8292841285133834,0.8753187149413565
Bristol,39,482998,0.5870165745856353,0.4394693200663348,0.7152685822229219,0.6733548360072049,1.0
Hampshire,39,2035872,0.22494080505130212,0.18064439706230734,0.39164972332862835,0.35536260329960334,0.5704086836162308
Hertfordshire,39,1215387,0.20165745856353579,0.13432835820895514,0.2590871630568648,0.21999748670045666,0.5517083120856706
Bedfordshire,38,729221,0.4097605893186003,0.2819237147595356,0.49552594458282795,0.46349432413186453,0.6214516403195649
City of Glasgow,37,620000,1.0,1.0,1.0,1.0,1.0
East Sussex,36,835121,0.47767034990791885,0.4449972360420121,0.5190521607881993,0.4904424803473939,0.5011898691143974
North Yorkshire,33,834409,0.15970303867403313,0.16272802653399668,0.3526756363838397,0.3557366062078499,0.09790922998470176
Tyne & Wear,33,1153212,0.8383977900552486,0.7910447761194028,0.7030159362180882,0.8534746366187744,0.7895971443141254
Cambridgeshire,32,919082,0.2727900552486189,0.20453289110005526,0.47486411156278646,0.3776930702746478,0.5256671766105729
Lincolnshire,32,1111230,0.5079803560466543,0.48000737055463405,0.7439412225277976,0.5631419967699448,0.3665363476684231
Buckinghamshire,30,864964,0.11602209944751382,0.05804311774461032,0.1775374329817674,0.12780128178276717,0.3866394696583376
Durham,28,532182,0.7527624309392266,0.7794361525704806,0.6355967516413101,0.8358815398148537,0.7470678225395206
South Glamorgan,27,518269,0.5653484703389398,0.2882025141439784,0.347889977455968,0.40049140247976484,0.4071018276688493
Shropshire,26,521175,0.48342541436464087,0.4145936981757877,0.5579065309788598,0.55899970678172,0.5160632330443651
Staffordshire,25,1161678,0.3698588090853284,0.36668509305325214,0.5760249892739961,0.5576499718417367,0.4926058133605304
West Sussex,25,900862,0.2160615627466456,0.19426676143094046,0.4078624143628357,0.37882006570483095,0.3983390398484738
Dorset,24,788859,0.30386740331491713,0.3026533996683249,0.4109155223023715,0.4578394001591758,0.4036206017338093
Cheshire,22,1119495,0.45062154696132595,0.4747097844112767,0.45916864981989564,0.6548192518745026,0.546787353391127
City of Edinburgh,22,524930,0.17162273659265703,0.11950887365783455,0.06723890010831256,0.23186920577085735,0.7622178344532407
Clwyd,20,503527,0.5475310266768004,0.36204710711630483,0.6195716358499793,0.43655338739491656,0.5667297196269886
Devon,20,1241629,0.3784530386740332,0.37230514096185724,0.39862583685979647,0.4887948728689315,0.2836308006119327
Oxfordshire,20,750230,0.0814917127071823,0.023217247097844024,0.262809626549869,0.2080593138692247,0.27261601223865384
Warwickshire,20,617823,0.2458563535911602,0.21558872305140953,0.37965423684868466,0.4377748921375614,0.558694543600204
Mid Glamorgan,18,622951,1.0,1.0,1.0,1.0,0.5717217672026798
Norfolk,18,931943,0.4252170481452248,0.4205164652925846,0.7592502688666329,0.5674970528570831,0.3256356086544766
Cornwall,17,580553,0.162292817679558,0.12023217247097841,0.24168233126221142,0.0,0.23431922488526263
Gloucestershire,17,659276,0.23825966850828734,0.20729684908789378,0.3571219122227058,0.3782515812842961,0.26534081251062386
Gwent,17,418975,0.7720848359684693,0.6820059536771296,0.8288650211166836,0.6359305504229127,1.0
Somerset,17,1080402,0.2670349907918969,0.2542841348811498,0.41663194219378424,0.3903991957441462,0.49983001869794325
Derbyshire,16,1077909,0.41666666666666663,0.42380689146858286,0.6222625540544294,0.6125702211238173,0.27888265624114683
East Riding of Yorkshire,15,622061,0.7285911602209945,0.6343283582089551,0.8047558638059873,0.635445901227328,0.6907190209077001
Suffolk,15,776442,0.2831491712707182,0.24875621890547256,0.5608067189540064,0.3997402923805137,0.4794492605813361
County Antrim,13,428800,0.0,0.0,0.0,0.0,0.0
West Glamorgan,13,389640,0.9420899975217498,0.9248008090277124,0.9619425539212959,0.8069846882141808,0.383997227992344
Dyfed,12,388139,0.37891390255688817,0.32355631961310016,0.37250618547345793,0.17857954395537765,0.1892526989278166
Wiltshire,12,756396,0.25897790055248615,0.203150912106136,0.4807533821636587,0.4169982825786454,0.5321264660887303
City of Aberdeen,11,228440,0.2107549628299321,0.2642507524555683,0.3337151949247264,0.34285973933083114,0.6038703055651043
Surrey,11,1228671,0.03641386238071313,0.009045680687471754,0.1132767022778413,0.17145653324600257,0.4715126790598489
Northumberland,10,327055,0.48342541436464087,0.5721393034825869,0.5470724954395192,0.6176433627947893,0.5436002039775625
Lanarkshire,7,664320,0.696450913820121,0.7596482658313755,0.7803126420166313,0.8756698061155663,0.6135114478349504
City of Dundee,6,150560,0.812355630579754,0.9061033108716366,0.9618701802235141,0.8778712665344124,0.8076186499791635
Fife,6,376500,0.5140658896066402,0.5963082460475299,0.575806081182092,0.5827203401306618,0.4691955241293179
Powys,6,134439,0.0,0.0,0.0,0.0,0.0
Cumbria,5,505063,0.3717771639042357,0.45328911000552785,0.5966991687732847,0.6420084055906954,0.22955974842767296
Gwynedd,5,188464,0.3644427572816379,0.19835654682770598,0.17065065566150517,0.13819951610402487,0.31980756509081687
Renfrewshire,5,353380,0.47730148481913975,0.5570296194160826,0.19362659999824613,0.675116032444514,0.39773803030150945
Worcestershire,5,614185,0.32458563535911594,0.3067993366500829,0.4215643606530053,0.4476465742330946,0.5467448580656128
Dunbartonshire,4,199980,0.5067602165557227,0.5669613506531757,0.24994605690967223,0.6768539388139421,0.37811994070846017
Herefordshire,4,189890,0.2900552486187845,0.25704809286898833,0.4681414536127342,0.4077828509194488,0.30239673635900055
Inverness,4,237970,0.38784167015345317,0.40033621120791707,0.415373027508882,0.36710513036020204,0.28539734219629664
Angus,3,116630,0.41887759159929955,0.4940083201876576,0.388744722869527,0.3998980667921947,0.347019642438537
Moray,3,96810,0.29240527141779754,0.3034822135800824,0.4089389494008181,0.20639903769449314,0.2805229576844704
West Lothian,3,179940,0.5136707985337242,0.5741251910551323,0.5718621534117064,0.6983732643471525,0.5457951948329226
Stirling and Falkirk,2,262660,0.34180602501604757,0.39075850304975024,0.34273686362076755,0.44175804613086067,0.4813771190639542
Aberdeenshire,1,264360,0.0,0.0,0.0,0.0,0.07830080190097095
Clackmannan,1,52030,0.6961086828565903,0.825060406907029,0.8653871843965049,0.6900556539339445,0.6866308600604663
County Derry / Londonderry,1,150900,1.0,1.0,1.0,1.0,1.0
Perth and Kinross,1,158010,0.1963432809383424,0.1819887282748077,0.17211723917233746,0.26867784972662506,0.0
Ross and Cromarty,1,237970,0.38784167015345317,0.40033621120791707,0.415373027508882,0.36710513036020204,0.28539734219629664
Rutland,1,40643,0.0,0.0,0.0,0.09948477359359949,0.0
Wigtown,1,151030,0.5675209050652184,0.5871301265882579,0.453247408327707,0.5687055958969026,0.5458639672870795
